CMTE_ID,FILE_NUM,TRANSACTION_TP,Month,Day,Year,TRANSACTION_AMT,STATE,ENTITY_TYPE,CAND_ID,CAND_NAME,OFFICE,PTY,Key,CMTE_NM
C00367995,714521,24K,1,18,2011,2000,GA,PAC,H2GA01157,"KINGSTON, JACK REP.",H,REP,H0,SIERRA NEVADA CORPORATION PAC
C00142315,722322,24K,2,1,2011,3500,CA,PAC,H8CA20059,"NUNES, DEVIN GERALD",H,REP,H1,BOYD GAMING POLITICAL ACTION COMMITTEE
C00226472,804544,24K,2,3,2011,1000,LA,PAC,H8LA02054,"RICHMOND, CEDRIC L.",H,DEM,H2,ARPAC
C00226472,804544,24K,2,3,2011,2500,TN,PAC,H0TN06257,"BLACK, DIANE L MRS.",H,REP,H3,ARPAC
C00034785,772136,24K,2,10,2011,2500,IL,PAC,H6IL06117,"ROSKAM, PETER",H,REP,H4,ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE
C00168070,734911,24K,2,13,2011,1000,TX,PAC,H4TX02108,"POE, TED",H,REP,H5,AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC)
C00168070,734911,24K,2,15,2011,1000,VA,PAC,H0VA07042,"CANTOR, ERIC IVAN",H,REP,H6,AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC)
C00168070,734911,24K,2,15,2011,1250,CT,PAC,H0CT03072,"DELAURO, ROSA L",H,DEM,H7,AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC)
C00168070,734911,24K,2,15,2011,2500,MI,PAC,H0MI10071,"CAMP, DAVID LEE",H,REP,H8,AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC)
C00142315,722322,24K,2,25,2011,5000,NJ,PAC,H2NJ02037,"LOBIONDO, FRANK A.",H,REP,H9,BOYD GAMING POLITICAL ACTION COMMITTEE
C00176727,716625,24K,2,28,2011,1000,AL,PAC,H6AL04098,"ADERHOLT, ROBERT BROWN",H,REP,H10,AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES
