CMTE_ID,FILE_NUM,TRANSACTION_TP,Month,Day,Year,TRANSACTION_AMT,STATE,ENTITY_TYPE,CAND_ID,CAND_NAME,OFFICE,PTY,Key,CMTE_NM
C00018945,723297,24K,1,13,2011,2000,MN,PAC,S6MN00267,"KLOBUCHAR, AMY J",S,DEM,S0,DORSEY NATIONAL FUND
C00261339,714633,24K,1,13,2011,2000,UT,PAC,S6UT00063,"HATCH, ORRIN G",S,REP,S1,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00367995,714521,24K,1,26,2011,1000,CO,PAC,S0CO00211,"BENNET, MICHAEL F",S,DEM,S2,SIERRA NEVADA CORPORATION PAC
C00434811,717079,24K,2,5,2011,5000,NE,PAC,S6NE00095,"NELSON, E BENJAMIN",S,DEM,S3,"TEVA PHARMACEUTICALS USA, INC. POLITICAL ACTION COMMITTEE"
C00395723,840675,24K,2,9,2011,1000,NJ,PAC,S6NJ00289,"MENENDEZ, ROBERT",S,DEM,S4,ALSTON & BIRD PAC
C00395723,840675,24K,2,9,2011,2500,UT,PAC,S6UT00063,"HATCH, ORRIN G",S,REP,S5,ALSTON & BIRD PAC
C00367995,717088,24K,2,14,2011,1000,NV,PAC,S8NV00073,"ENSIGN, JOHN E",S,REP,S6,SIERRA NEVADA CORPORATION PAC
C00366070,738932,24K,2,16,2011,2500,CO,PAC,S0CO00211,"BENNET, MICHAEL F",S,DEM,S7,FAA MANAGERS ASSOCIATION INC. PAC
C00366070,738932,24K,2,17,2011,2500,WY,PAC,S6WY00068,"BARRASSO, JOHN A",S,REP,S8,FAA MANAGERS ASSOCIATION INC. PAC
C00142315,722322,24K,2,23,2011,5000,NV,PAC,S6NV00028,"REID, HARRY",S,DEM,S9,BOYD GAMING POLITICAL ACTION COMMITTEE
C00366070,738932,24K,2,25,2011,1500,WY,PAC,S6WY00068,"BARRASSO, JOHN A",S,REP,S10,FAA MANAGERS ASSOCIATION INC. PAC
C00395723,840675,24K,2,25,2011,1500,DE,PAC,S8DE00079,"CARPER, THOMAS R",S,DEM,S11,ALSTON & BIRD PAC
C00434811,725689,24K,3,1,2011,2500,OR,PAC,S8OR00207,"MERKLEY, JEFFREY ALAN",S,DEM,S12,"TEVA PHARMACEUTICALS USA, INC. POLITICAL ACTION COMMITTEE"
C00395723,840675,24K,3,8,2011,2000,DE,PAC,S8DE00079,"CARPER, THOMAS R",S,DEM,S13,ALSTON & BIRD PAC
C00159954,725704,24K,3,9,2011,3000,CA,PAC,S0CA00199,"FEINSTEIN, DIANNE",S,DEM,S14,O'MELVENY & MYERS POLITICAL ACTION COMMITTEE
C00261339,723138,24K,3,10,2011,1000,NE,PAC,S6NE00095,"NELSON, E BENJAMIN",S,DEM,S15,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00159954,725704,24K,3,10,2011,5000,NE,PAC,S6NE00095,"NELSON, E BENJAMIN",S,DEM,S16,O'MELVENY & MYERS POLITICAL ACTION COMMITTEE
C00313650,764844,24K,3,14,2011,2500,AZ,PAC,S2AZ00141,"FLAKE, JEFF",S,REP,S17,"US AIRWAYS GROUP, INC. FEDERAL PAC"
C00348607,734928,24K,3,15,2011,5000,FL,PAC,S8FL00166,"NELSON, BILL",S,DEM,S18,IMPACT
C00348607,734928,24K,3,15,2011,5000,FL,PAC,S8FL00166,"NELSON, BILL",S,DEM,S19,IMPACT
C00430371,792949,24K,3,16,2011,5000,MT,PAC,S6MT00162,"TESTER, JON",S,DEM,S20,SOUTH DAKOTA FIRST
C00430371,792949,24K,3,23,2011,5000,RI,PAC,S6RI00221,"WHITEHOUSE, SHELDON II",S,DEM,S21,SOUTH DAKOTA FIRST
C00261339,723138,24K,3,23,2011,2000,NJ,PAC,S6NJ00289,"MENENDEZ, ROBERT",S,DEM,S22,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00430371,792949,24K,3,23,2011,2000,DC,PAC,S0NY00410,"GILLIBRAND, KIRSTEN ELIZABETH",S,DEM,S23,SOUTH DAKOTA FIRST
C00348607,734928,24K,3,24,2011,5000,NJ,PAC,S6NJ00289,"MENENDEZ, ROBERT",S,DEM,S24,IMPACT
C00348607,734928,24K,3,24,2011,5000,MT,PAC,S6MT00162,"TESTER, JON",S,DEM,S25,IMPACT
C00348607,734928,24K,3,24,2011,5000,MT,PAC,S6MT00162,"TESTER, JON",S,DEM,S26,IMPACT
C00348607,734928,24K,3,24,2011,5000,NJ,PAC,S6NJ00289,"MENENDEZ, ROBERT",S,DEM,S27,IMPACT
C00202861,723607,24K,3,30,2011,5000,TN,PAC,S6TN00216,"CORKER, ROBERT P JR",S,REP,S28,THE SENATE VICTORY FUND PAC
C00202861,723607,24K,3,30,2011,5000,WY,PAC,S6WY00068,"BARRASSO, JOHN A",S,REP,S29,THE SENATE VICTORY FUND PAC
C00202861,723607,24K,3,30,2011,5000,WY,PAC,S6WY00068,"BARRASSO, JOHN A",S,REP,S30,THE SENATE VICTORY FUND PAC
C00202861,723607,24K,3,30,2011,5000,TN,PAC,S6TN00216,"CORKER, ROBERT P JR",S,REP,S31,THE SENATE VICTORY FUND PAC
C00202861,723607,24K,3,30,2011,5000,MT,PAC,S6MT00097,"REHBERG, DENNIS RAY",S,REP,S32,THE SENATE VICTORY FUND PAC
C00202861,727987,24K,4,4,2011,5000,AK,PAC,S4AK00099,"MURKOWSKI, LISA",S,REP,S33,THE SENATE VICTORY FUND PAC
C00078261,729044,24K,4,5,2011,2000,CO,PAC,S0CO00211,"BENNET, MICHAEL F",S,DEM,S34,UNITED AIRLINES POLITICAL ACTION COMMITTEE
C00159954,729053,24K,4,6,2011,1000,MN,PAC,S6MN00267,"KLOBUCHAR, AMY J",S,DEM,S35,O'MELVENY & MYERS POLITICAL ACTION COMMITTEE
C00159954,732058,24K,5,2,2011,1000,NE,PAC,S8NE00091,"BRUNING, JON C",S,REP,S36,O'MELVENY & MYERS POLITICAL ACTION COMMITTEE
C00422352,734076,24K,5,2,2011,2000,CA,PAC,S0CA00199,"FEINSTEIN, DIANNE",S,DEM,S37,"CLEAN ENERGY PAC OF IBERDROLA RENEWABLES, INC."
C00366070,738932,24K,5,2,2011,1000,NM,PAC,S8NM00168,"WILSON, HEATHER A",S,REP,S38,FAA MANAGERS ASSOCIATION INC. PAC
C00261339,731758,24K,5,3,2011,1000,DC,PAC,S6OH00163,"BROWN, SHERROD",S,DEM,S39,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00261339,731758,24K,5,3,2011,1000,ME,PAC,S4ME00055,"SNOWE, OLYMPIA J",S,REP,S40,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00261339,731758,24K,5,13,2011,2000,UT,PAC,S6UT00063,"HATCH, ORRIN G",S,REP,S41,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00366070,738932,24K,5,18,2011,1500,GA,PAC,S6GA00119,"ISAKSON, JOHN HARDY",S,REP,S42,FAA MANAGERS ASSOCIATION INC. PAC
C00261339,731758,24K,5,19,2011,2000,FL,PAC,S8FL00166,"NELSON, BILL",S,DEM,S43,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00261339,731758,24K,5,24,2011,1000,MT,PAC,S6MT00162,"TESTER, JON",S,DEM,S44,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00261339,731758,24K,5,24,2011,1000,WV,PAC,S0WV00090,"MANCHIN, JOE III",S,DEM,S45,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00367995,731186,24K,5,25,2011,1000,NM,PAC,S8NM00168,"WILSON, HEATHER A",S,REP,S46,SIERRA NEVADA CORPORATION PAC
C00159954,732058,24K,5,26,2011,2000,CA,PAC,S0CA00199,"FEINSTEIN, DIANNE",S,DEM,S47,O'MELVENY & MYERS POLITICAL ACTION COMMITTEE
C00430371,792949,24K,6,7,2011,5000,FL,PAC,S8FL00166,"NELSON, BILL",S,DEM,S48,SOUTH DAKOTA FIRST
C00261339,734497,24K,6,8,2011,1000,MA,PAC,S0MA00109,"BROWN, SCOTT P",S,REP,S49,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00366070,738932,24K,6,10,2011,1000,FL,PAC,S8FL00166,"NELSON, BILL",S,DEM,S50,FAA MANAGERS ASSOCIATION INC. PAC
C00261339,734497,24K,6,13,2011,1000,NM,PAC,S2NM00088,"HEINRICH, MARTIN TREVOR",S,DEM,S51,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00018945,735621,24K,6,17,2011,5000,DC,PAC,S6MO00305,"MCCASKILL, CLAIRE",S,DEM,S52,DORSEY NATIONAL FUND
C00422352,734076,24K,6,20,2011,2000,OR,PAC,S8OR00207,"MERKLEY, JEFFREY ALAN",S,DEM,S53,"CLEAN ENERGY PAC OF IBERDROLA RENEWABLES, INC."
C00434811,737172,24K,6,21,2011,2000,VA,PAC,S2VA00142,"KAINE, TIMOTHY MICHAEL",S,DEM,S54,"TEVA PHARMACEUTICALS USA, INC. POLITICAL ACTION COMMITTEE"
C00261339,734497,24K,6,22,2011,1000,MT,PAC,S6MT00162,"TESTER, JON",S,DEM,S55,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00261339,734497,24K,6,22,2011,1000,IN,PAC,S4IN00014,"LUGAR, RICHARD G",S,REP,S56,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00313650,764844,24K,6,24,2011,1000,MT,PAC,S6MT00162,"TESTER, JON",S,DEM,S57,"US AIRWAYS GROUP, INC. FEDERAL PAC"
C00142315,750484,24K,6,27,2011,5000,NV,PAC,S2NV00209,"BERKLEY, SHELLEY",S,DEM,S58,BOYD GAMING POLITICAL ACTION COMMITTEE
C00142315,750484,24K,6,27,2011,5000,NV,PAC,S2NV00183,"HELLER, DEAN",S,REP,S59,BOYD GAMING POLITICAL ACTION COMMITTEE
C00392738,739423,24K,6,29,2011,5000,DC,PAC,S6MO00305,"MCCASKILL, CLAIRE",S,DEM,S60,HOLDING ONTO OREGON'S PRIORITIES
C00392738,739423,24K,6,29,2011,2500,RI,PAC,S6RI00221,"WHITEHOUSE, SHELDON II",S,DEM,S61,HOLDING ONTO OREGON'S PRIORITIES
C00392738,739423,24K,6,29,2011,5000,FL,PAC,S8FL00166,"NELSON, BILL",S,DEM,S62,HOLDING ONTO OREGON'S PRIORITIES
C00202861,733636,24K,6,30,2011,5000,FL,PAC,S2FL00227,"LEMIEUX, GEORGE S",S,REP,S63,THE SENATE VICTORY FUND PAC
C00202861,733636,24K,6,30,2011,5000,NV,PAC,S2NV00183,"HELLER, DEAN",S,REP,S64,THE SENATE VICTORY FUND PAC
C00448696,737511,24E,6,30,2011,4925,VA,PAC,S2OH00170,"MANDEL, JOSH",S,REP,S65,SENATE CONSERVATIVES FUND
C00261339,741422,24K,7,7,2011,1000,MD,PAC,S6MD03177,"CARDIN, BENJAMIN L",S,DEM,S66,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00367995,741976,24K,7,8,2011,1000,NV,PAC,S2NV00183,"HELLER, DEAN",S,REP,S67,SIERRA NEVADA CORPORATION PAC
C00078261,742155,24K,7,19,2011,5000,NJ,PAC,S6NJ00289,"MENENDEZ, ROBERT",S,DEM,S68,UNITED AIRLINES POLITICAL ACTION COMMITTEE
C00078261,742155,24K,7,19,2011,3000,NJ,PAC,S6NJ00289,"MENENDEZ, ROBERT",S,DEM,S69,UNITED AIRLINES POLITICAL ACTION COMMITTEE
C00448696,742620,24E,7,23,2011,1147,VA,PAC,S2TX00312,"CRUZ, RAFAEL EDWARD TED",S,REP,S70,SENATE CONSERVATIVES FUND
C00159954,745192,24K,8,9,2011,2000,FL,PAC,S8FL00166,"NELSON, BILL",S,DEM,S71,O'MELVENY & MYERS POLITICAL ACTION COMMITTEE
C00018945,748137,24K,8,15,2011,2500,MN,PAC,S8MN00438,"FRANKEN, AL",S,DFL,S72,DORSEY NATIONAL FUND
C00078261,744823,24K,8,18,2011,1000,WV,PAC,S4WV00027,"ROCKEFELLER, JOHN DAVISON IV",S,DEM,S73,UNITED AIRLINES POLITICAL ACTION COMMITTEE
C00367995,764876,24K,8,23,2011,1000,NM,PAC,S8NM00168,"WILSON, HEATHER A",S,REP,S74,SIERRA NEVADA CORPORATION PAC
C00448696,745403,24E,8,31,2011,1452,VA,PAC,S2OH00170,"MANDEL, JOSH",S,REP,S75,SENATE CONSERVATIVES FUND
C00367995,764878,24K,9,1,2011,1000,NV,PAC,S2NV00183,"HELLER, DEAN",S,REP,S76,SIERRA NEVADA CORPORATION PAC
C00261339,749563,24K,9,6,2011,2000,KY,PAC,S2KY00012,"MCCONNELL, MITCH",S,REP,S77,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00261339,749563,24K,9,6,2011,1000,MO,PAC,S0MO00183,"BLUNT, ROY",S,REP,S78,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00261339,749563,24K,9,12,2011,1000,VA,PAC,S2VA00142,"KAINE, TIMOTHY MICHAEL",S,DEM,S79,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00018945,748137,24K,9,12,2011,1000,MN,PAC,S6MN00267,"KLOBUCHAR, AMY J",S,DEM,S80,DORSEY NATIONAL FUND
C00321158,760327,24K,9,16,2011,5000,VA,PAC,S8VA00214,"ALLEN, GEORGE",S,REP,S81,SALEM COMMUNICATIONS CORPORATION POLITICAL ACTION COMMITTEE
