PROJ_HALO_ID,Month,Day,Year,EXPERIENCE_GAIN,PROJ_ID,PROJ_NAME,CPNY,Key,LANGUAGE,LINK
C001,1,18,2013,400,ID1,CO2 Audit tool,thinkstep,H0,VBA,"https://www.google.com"
C002,2,3,2014,400,ID2,"Knowledge Management",thinkstep,H1,Python,"https://www.spiegel.de"
C003,2,3,2014,200,ID2,"Knowledge Management",thinkstep,H1,SQL,"http://www.kicker.de"
C004,2,3,2014,100,ID2,"Knowledge Management",thinkstep,H1,PowerShell,"http://www.kicker.de"
C005,2,3,2014,25,ID2,"Knowledge Management",thinkstep,H1,AD,"http://www.kicker.de"
C006,2,3,2014,50,ID2,"Knowledge Management",thinkstep,H1,JS,"http://www.kicker.de"
C007,2,3,2014,100,ID2,"Knowledge Management",thinkstep,H1,PowerQuery,"http://www.kicker.de"
C008,2,3,2011,300,ID3,"Programming language progress",cognizant,H2,HTML,"http://www.kicker.de"
C009,2,1,2011,200,ID3,"Programming language progress",cognizant,H2,d3.js,"http://www.kicker.de"
C010,2,13,2011,300,ID3,"Programming language progress",cognizant,H2,CSS,"http://www.kicker.de"
C011,2,15,2011,100,ID6,"GeoData Seminar",thinkstep,H5,ArcGIS,"http://www.kicker.de"
C012,1,18,2013,400,ID7,"LifeCycleData consulting",thinkstep,H6,Excel,"http://www.kicker.de"
C013,1,18,2015,300,ID8,"xg-boost kaggle competition",cognizant,H7,R,"http://www.kicker.de"
C014,1,18,2015,200,ID8,"xg-boost kaggle competition",cognizant,H7,Azure,"http://www.kicker.de"
C015,1,18,2015,200,ID8,"xg-boost kaggle competition",cognizant,H7,Spark Sd,"http://www.kicker.de"
C013,1,18,2015,200,ID9,"mi stuff,others,others","on my own",H8,R,"http://www.kicker.de"
