CMTE_ID,FILE_NUM,TRANSACTION_TP,Month,Day,Year,TRANSACTION_AMT,STATE,ENTITY_TYPE,CAND_ID,CAND_NAME,OFFICE,PTY,Key,CMTE_NM
C00018945,723297,24K,1,13,2011,2000,MN,PAC,S6MN00267,"KLOBUCHAR, AMY J",S,DEM,S0,DORSEY NATIONAL FUND
C00261339,714633,24K,1,13,2011,2000,UT,PAC,S6UT00063,"HATCH, ORRIN G",S,REP,S1,HOGAN LOVELLS POLITICAL ACTION COMMITTEE
C00367995,714521,24K,1,26,2011,1000,CO,PAC,S0CO00211,"BENNET, MICHAEL F",S,DEM,S2,SIERRA NEVADA CORPORATION PAC
C00434811,717079,24K,2,5,2011,5000,NE,PAC,S6NE00095,"NELSON, E BENJAMIN",S,DEM,S3,"TEVA PHARMACEUTICALS USA, INC. POLITICAL ACTION COMMITTEE"
C00395723,840675,24K,2,9,2011,1000,NJ,PAC,S6NJ00289,"MENENDEZ, ROBERT",S,DEM,S4,ALSTON & BIRD PAC
C00395723,840675,24K,2,9,2011,2500,UT,PAC,S6UT00063,"HATCH, ORRIN G",S,REP,S5,ALSTON & BIRD PAC
C00367995,717088,24K,2,14,2011,1000,NV,PAC,S8NV00073,"ENSIGN, JOHN E",S,REP,S6,SIERRA NEVADA CORPORATION PAC
C00366070,738932,24K,2,16,2011,2500,CO,PAC,S0CO00211,"BENNET, MICHAEL F",S,DEM,S7,FAA MANAGERS ASSOCIATION INC. PAC
C00366070,738932,24K,2,17,2011,2500,WY,PAC,S6WY00068,"BARRASSO, JOHN A",S,REP,S8,FAA MANAGERS ASSOCIATION INC. PAC
C00142315,722322,24K,2,23,2011,5000,NV,PAC,S6NV00028,"REID, HARRY",S,DEM,S9,BOYD GAMING POLITICAL ACTION COMMITTEE
C00366070,738932,24K,2,25,2011,1500,WY,PAC,S6WY00068,"BARRASSO, JOHN A",S,REP,S10,FAA MANAGERS ASSOCIATION INC. PAC
C00395723,840675,24K,2,25,2011,1500,DE,PAC,S8DE00079,"CARPER, THOMAS R",S,DEM,S11,ALSTON & BIRD PAC
